Patent_Number,Title,Date,CPC,Abstract
"10,096,169",System for the augmented assessment of virtual insertion opportunities,"October 9, 2018",G06N 20/00 (20190101); G06T 19/006 (20130101); G06F 16/285 (20190101); H04L 65/602 (20130101); G06T 19/20 (20130101); H04N 5/2723 (20130101),"A system for the augmented assessment of digital media streams for virtual less than insertion opportunities is disclosed. A digital media stream is automatically decomposed, using a programmed digital processor, into one or more candidate-clips have a predetermined minimum length, and no internal shot transitions. These candidate-clips are then examined, and the ones deemed suitable for virtual insertion use, are classified as viable-clips and stored in a digital database. The artificial intelligence techniques of machine learning and deep learning are then used to further classify the viable-clips according to their virtual insertion related attributes that may be attractive to advertisers, such as scene context, emotional tone and contained characters. A value is then assigned to the viable-clips, dependent on their insertion related attributes, and the overlap of those attributes with client requested requirements."
"10,095,992","Using classified text, deep learning algorithms and Blockchain to identify risk in low-frequency, high value situations, and provide early warning","October 9, 2018",G06N 3/08 (20130101); G06Q 10/0635 (20130101); G06N 3/0445 (20130101); G06N 20/00 (20190101); G06Q 50/18 (20130101); G06F 16/35 (20190101); G06N 3/04 (20130101); G06K 9/6256 (20130101); G06F 17/21 (20130101); G06Q 10/107 (20130101); H04L 2209/38 (20130101),"Deep learning is used to identify specific, potential risks to an enterprise while such risks are still internal electronic communications. The combination of Deep Learning and Blockchain technologies is a system for overcoming the problem of ""small training sets"" for highly adverse situations. Each enterprise's data is secure; is not revealed to any other enterprise and yet is being aggregated using Blockchain technology into a training set that is provably viable for building a Deep Learning model which is specific to a given adverse situation. When deployed, the Deep Learning model may provide an early warning alert to an enterprise's corporate counsel (or leaders) of a potential adverse situation the enterprise would like to know about in time to conduct an internal investigation in order to prevent or avoid the risk."
"10,095,957",Method and system for unsupervised word image clustering,"October 9, 2018",G06K 9/6218 (20130101); G06K 9/66 (20130101); G06K 9/6215 (20130101); G06K 9/4604 (20130101),"The present application provides a method and system for unsupervised word image clustering, comprises capturing one or more image wherein the one or more image comprises at least one word images. Extracting at least one feature vector using an untrained convolution neural network architecture, wherein the convolution filters are initialized by random filter based deep learning techniques using Gaussian random variable with zero mean and unit standard deviation, and wherein the convolution filters are constrained to sum to zero. The extracted feature vectors are used for clustering, wherein clustering is performed in two stages. First stage includes clustering word images which are similar using a graph connected component. Second stage clustering includes clustering a remaining word images which are not clustered during the first stage by evaluating the remaining images against the clusters formed during the first stage and assigning them to clusters based on the evaluation."
"10,089,979",Signal processing algorithm-integrated deep neural network-based speech recognition apparatus and learning method thereof,"October 2, 2018",G10L 15/16 (20130101),"Provided are a signal processing algorithm-integrated deep neural network (DNN)-based speech recognition apparatus and a learning method thereof. A model parameter learning method in a deep neural network (DNN)-based speech recognition apparatus implementable by a computer includes converting a signal processing algorithm for extracting a feature parameter from a speech input signal of a time domain into signal processing deep neural network (DNN), fusing the signal processing DNN and a classification DNN, and learning a model parameter in a deep learning model in which the signal processing DNN and the classification DNN are fused."
"10,089,580",Generating and using a knowledge-enhanced model,"October 2, 2018",G06F 16/3329 (20190101); G06F 16/9535 (20190101); G06N 5/04 (20130101); G06N 5/022 (20130101); G06N 3/02 (20130101); G06N 20/00 (20190101); G06N 3/0454 (20130101),"Functionality is described herein for generating a model on the basis of user-behavioral data and knowledge data. In one case, the user-behavioral data identifies queries submitted by users, together with selections made by the users in response to the queries. The knowledge data represents relationships among linguistic items, as expressed by one or more structured knowledge resources. The functionality leverages the knowledge data to supply information regarding semantic relationships which may not be adequately captured by the user-behavioral data, to thereby produce a more robust and accurate model (compared to a model produced on the basis of only user-behavioral data). Functionality is also described herein for applying the model, once trained. In one case, the model may correspond to a deep learning model."
"10,083,378",Automatic detection of objects in video images,"September 25, 2018",G06K 9/66 (20130101); G06N 3/08 (20130101); G06K 9/00771 (20130101); G06K 9/6267 (20130101); G06K 9/4671 (20130101),A machine learning model is configured to detect objects from video images. A system monitors video images to identify particular objects. A deep learning process is utilized to learn a baseline pattern. A change due to movement within a field of view is autonomously detected using the deep learning processing. An action is performed based on the detected change.
"10,074,041",Fine-grained image classification by exploring bipartite-graph labels,"September 11, 2018",G06K 9/6267 (20130101); G06K 9/66 (20130101); G06T 7/0004 (20130101); G06N 3/0454 (20130101); G06N 3/084 (20130101); G06K 9/469 (20130101); G06K 9/627 (20130101); G06T 2207/30128 (20130101),Systems and methods are disclosed for deep learning and classifying images of objects by receiving images of objects for training or classification of the objects; producing fine-grained labels of the objects; providing object images to a multi-class convolutional neural network (CNN) having a softmax layer and a final fully connected layer to explicitly model bipartite-graph labels (BGLs); and optimizing the CNN with global back-propagation.
"10,062,014",Deep image-to-image network learning for medical image analysis,"August 28, 2018",G06T 7/143 (20170101); G06K 9/66 (20130101); G06T 7/0014 (20130101); G06T 7/174 (20170101); G06T 7/11 (20170101); G06K 9/4609 (20130101); G06K 9/4628 (20130101); G06K 9/6297 (20130101); G06T 2207/20016 (20130101); G06T 2207/30056 (20130101); G06T 2207/30004 (20130101); G06T 2207/20081 (20130101); G06T 2207/30096 (20130101); G06T 2207/10072 (20130101); G06T 2207/10136 (20130101),"A method and apparatus for automatically performing medical image analysis tasks using deep image-to-image network (DI2IN) learning. An input medical image of a patient is received. An output image that provides a result of a target medical image analysis task on the input medical image is automatically generated using a trained deep image-to-image network (DI2IN). The trained DI2IN uses a conditional random field (CRF) energy function to estimate the output image based on the input medical image and uses a trained deep learning network to model unary and pairwise terms of the CRF energy function. The DI2IN may be trained on an image with multiple resolutions. The input image may be split into multiple parts and a separate DI2IN may be trained for each part. Furthermore, the multi-scale and multi-part schemes can be combined to train a multi-scale multi-part DI2IN."
"10,049,299",Deep learning based method and apparatus for three dimensional model triangular facet feature learning and classifying,"August 14, 2018",G06K 9/6232 (20130101); G06K 9/6268 (20130101); G06N 3/04 (20130101); G06K 9/6271 (20130101); G06N 3/0454 (20130101); G06K 9/00201 (20130101); G06K 9/4628 (20130101); G06N 3/08 (20130101),"The invention discloses a deep learning based method for three dimensional (3D) model triangular facet feature learning and classifying and an apparatus. The method includes: constructing a deep convolutional neural network (CNN) feature learning model; training the deep CNN feature learning model; extracting a feature from, and constructing a feature vector for, a 3D model triangular facet having no class label, and reconstructing a feature in the constructed feature vector using a bag-of-words algorithm; determining an output feature corresponding to the 3D model triangular facet having no class label according to the trained deep CNN feature learning model and an initial feature corresponding to the 3D model triangular facet having no class label; and performing classification. The method enhances the capability to describe 3D model triangular facets, thereby ensuring the accuracy of 3D model triangular facet feature learning and classifying results."
"10,026,230",Augmented point cloud for a visualization system and method ,"July 17, 2018",G06T 17/00 (20130101); G06T 19/006 (20130101); H04L 67/1097 (20130101); G06T 15/00 (20130101); G06T 2210/56 (20130101); G06T 2200/04 (20130101),"A visualization system that uses deep learning can store data representing a scene in multiple layers of representation. Each layer can include a different category of data from the other layers. The categories of data can increase in complexity and specificity from a lowermost layer to an uppermost layer. For instance, first, second, and third layers can store information corresponding to edges, corners, and surface finishes present in the scene, respectively. The visualization system can retrieve data representing the scene from multiple layers, and augment a point cloud representation of the scene in response to the retrieved data. The point cloud can be augmented to increase a point density in one or more point cloud regions that lack data or include only sparse data. Downstream, the visualization system can use the augmented point cloud to create improved images of the scene from desired points of view."
"10,013,774",Broad area geospatial object detection using autogenerated deep learning models,"July 3, 2018",G06T 7/344 (20170101); G06T 7/33 (20170101); G06K 9/6272 (20130101); G06K 9/0063 (20130101); G06K 9/4628 (20130101); G06T 7/74 (20170101); G06T 5/005 (20130101); G06T 2207/10032 (20130101); G06T 2207/20081 (20130101); G06T 2207/20084 (20130101); G06T 2207/30184 (20130101); G06T 2207/30212 (20130101); G06T 2207/30252 (20130101),"A system for automated geospatial image analysis comprising a deep learning model module and a convolutional neural network serving as an automated image analysis software module. The deep learning module receives a plurality of orthorectified geospatial images, pre-labeled to demarcate objects of interest, and optimized for the purpose of training the neural network of the image analysis software module. The module presents marked geospatial images and a second set of unmarked, optimized, training geospatial images to the convolutional neural network. This process may be repeated so that an image analysis software module can detect multiple object types or categories. The image analysis software module receives a plurality of orthorectified geospatial images from one or more geospatial image caches. Using multi-scale sliding window submodule, image analysis modules scan geospatial images, detect objects present and locate them on the geographical latitude-longitude system. The system reports the results in the requestor's preferred format."
"10,002,415",Utilizing deep learning for rating aesthetics of digital images,"June 19, 2018",G06T 7/0002 (20130101); G06K 9/623 (20130101); G06K 9/6256 (20130101); G06T 2207/30168 (20130101); G06T 2207/20081 (20130101),"Systems and methods are disclosed for estimating aesthetic quality of digital images using deep learning. In particular, the disclosed systems and methods describe training a neural network to generate an aesthetic quality score digital images. In particular, the neural network includes a training structure that compares relative rankings of pairs of training images to accurately predict a relative ranking of a digital image. Additionally, in training the neural network, an image rating system can utilize content-aware and user-aware sampling techniques to identify pairs of training images that have similar content and/or that have been rated by the same or different users. Using content-aware and user-aware sampling techniques, the neural network can be trained to accurately predict aesthetic quality ratings that reflect subjective opinions of most users as well as provide aesthetic scores for digital images that represent the wide spectrum of aesthetic preferences of various users."
"9,990,687",Systems and methods for fast and repeatable embedding of high-dimensional data objects using deep learning with power efficient GPU and FPGA-based processing platforms,"June 5, 2018",G06N 3/0454 (20130101); G06T 1/005 (20130101); H04N 1/32154 (20130101); G06K 9/6247 (20130101); G06K 9/00 (20130101); G06K 9/4628 (20130101); G06K 9/6256 (20130101); G06K 9/627 (20130101); H04N 1/32267 (20130101); G06N 3/082 (20130101); G06N 3/084 (20130101),"Embodiments of the present invention are directed to providing new systems and methods for using deep learning techniques to generate embeddings for high dimensional data objects that can both simulate prior art embedding algorithms and also provide superior performance compared to the prior art methods. Deep learning techniques used by embodiments of the present invention to embed high dimensional data objects may comprise the following steps: (1) generating an initial formal embedding of selected high-dimensional data objects using any of the traditional formal embedding techniques; (2a) designing a deep embedding architecture, which includes choosing the types and numbers of inputs and outputs, types and number of layers, types of units/nonlinearities, and types of pooling, for example, among other design choices, typically in a convolutional neural network; (2b) designing a training strategy; (2c) tuning the parameters of a deep embedding architecture to reproduce, as reliably as possible, the generated embedding for each training sample; (3) optionally deploying the trained deep embedding architecture to convert new high dimensional data objects into approximately the same embedded space as found in step (1); and optionally (4) feeding the computed embeddings of high dimensional objects to an application in a deployed embodiment."
"9,971,953",Visual recognition using deep learning attributes,"May 15, 2018",G06K 9/4628 (20130101); G06K 9/6269 (20130101); G06N 3/0454 (20130101); G06N 3/04 (20130101); G06N 3/08 (20130101); G06K 9/66 (20130101),"A processing device for performing visual recognition using deep learning attributes and method for performing the same are described. In one embodiment, a processing device comprises: an interface to receive an input image; and a recognition unit coupled to the interface and operable to perform visual object recognition on the input image, where the recognition unit has an extractor to extract region proposals from the input image, a convolutional neural network (CNN) to compute features for each extracted region proposal, the CNN being operable to create a soft-max layer output, a cross region pooling unit operable to perform pooling of the soft-max layer output to create a set of attributes of the input image, and an image classifier operable to perform image classification based on the attributes of the input image."
"9,965,610",Physical system access control,"May 8, 2018",G06N 20/00 (20190101); G06K 9/00288 (20130101); G06K 9/00221 (20130101); G06K 9/00281 (20130101); G06K 9/00624 (20130101); G06K 9/00791 (20130101); G06K 9/00255 (20130101); G06K 9/00906 (20130101); G06F 21/32 (20130101); G07C 9/00158 (20130101); G07C 9/00166 (20130101); H04L 63/0861 (20130101); G06K 9/4652 (20130101); G06F 21/6218 (20130101); G06K 9/66 (20130101); H04L 63/1483 (20130101); G06K 9/00228 (20130101); G06F 2221/2133 (20130101),A machine access control system and corresponding method are provided. The machine access control system includes a camera configured to capture an input image of a subject purported to be a person associated with operating a particular workplace machine. The machine access control system further includes a memory storing a deep learning model configured to perform multi-task learning for a pair of tasks including a liveness detection task and a face recognition task. The machine access control system also includes a processor configured to apply the deep learning model to the input image to recognize an identity of the subject in the input image regarding being authorized to use the particular workplace machine and a liveness of the subject. The liveness detection task is configured to evaluate a plurality of different distractor modalities corresponding to different physical spoofing materials to prevent face spoofing for the face recognition task.
"9,959,468",Systems and methods for object tracking and classification,"May 1, 2018",G06T 7/246 (20170101); G06K 9/3241 (20130101); G06K 9/00718 (20130101); G06T 7/215 (20170101); G06K 9/00765 (20130101); G06K 9/6269 (20130101); G06K 9/00744 (20130101),"A method for classifying at least one object of interest in a video is provided. The method includes accessing, using at least one processing device, a frame of the video, the frame including at least one object of interest to be classified, performing, using the at least one processing device, object detection on the frame to detect the object of interest, tracking, using the at least one processing device, the object of interest over a plurality of frames in the video over time using a persistent tracking capability, isolating, using the at least one processing device, a segment of the frame that includes the object of interest, classifying, using the at least one processing device, the object of interest by processing the segment using deep learning, and generating an output that indicates the classification of the object of interest."
"9,922,272",Deep similarity learning for multimodal medical images,"March 20, 2018",G06N 3/0454 (20130101); G06K 9/6289 (20130101); G06K 9/6215 (20130101); G06T 7/30 (20170101); G06K 9/66 (20130101); G06T 2207/10072 (20130101); G06T 2207/20081 (20130101); G06T 2207/20084 (20130101); G06T 2207/30004 (20130101),"The present embodiments relate to machine learning for multimodal image data. By way of introduction, the present embodiments described below include apparatuses and methods for learning a similarity metric using deep learning based techniques for multimodal medical images. A novel similarity metric for multi-modal images is provided using the corresponding states of pairs of image patches to generate a classification setting for each pair. The classification settings are used to train a deep neural network via supervised learning. A multi-modal stacked denoising auto encoder (SDAE) is used to pre-train the neural network. A continuous and smooth similarity metric is constructed based on the output of the neural network before activation in the last layer. The trained similarity metric may be used to improve the results of image fusion."
"9,916,679",Deepstereo: learning to predict new views from real world imagery ,"March 13, 2018",G06T 15/20 (20130101); G06K 9/00664 (20130101); G06K 9/6272 (20130101); G06K 9/4652 (20130101); G06T 15/205 (20130101); G06K 9/4628 (20130101); G06N 20/00 (20190101),"A system and method of deep learning using deep networks to predict new views from existing images may generate and improve models and representations from large-scale data. This system and method of deep learning may employ a deep architecture performing new view synthesis directly from pixels, trained from large numbers of posed image sets. A system employing this type of deep network may produce pixels of an unseen view based on pixels of neighboring views, lending itself to applications in graphics generation."
"9,916,538",Method and system for feature detection,"March 13, 2018",G06N 7/005 (20130101); G06K 9/627 (20130101),"Specification covers new algorithms, methods, and systems for artificial intelligence, soft computing, and deep learning/recognition, e.g., image recognition (e.g., for action, gesture, emotion, expression, biometrics, fingerprint, facial, OCR (text), background, relationship, position, pattern, and object), Big Data analytics, machine learning, training schemes, crowd-sourcing (experts), feature space, clustering, classification, SVM, similarity measures, modified Boltzmann Machines, optimization, search engine, ranking, question-answering system, soft (fuzzy or unsharp) boundaries/impreciseness/ambiguities/fuzziness in language, Natural Language Processing (NLP), Computing-with-Words (CWW), parsing, machine translation, sound and speech recognition, video search and analysis (e.g. tracking), image annotation, geometrical abstraction, image correction, semantic web, context analysis, data reliability, Z-number, Z-Web, Z-factor, rules engine, control system, autonomous vehicle, self-diagnosis and self-repair robots, system diagnosis, medical diagnosis, biomedicine, data mining, event prediction, financial forecasting, economics, risk assessment, e-mail management, database management, indexing and join operation, memory management, data compression, event-centric social network, Image Ad Network."
"9,912,349","Method and apparatus for processing floating point number matrix, an apparatus and computer-readable storage medium","March 6, 2018",H03M 7/24 (20130101); H03M 7/30 (20130101); G06F 17/16 (20130101); G06N 3/02 (20130101); G06F 9/30145 (20130101); G06F 9/30018 (20130101); G06F 9/30149 (20130101); G06F 9/3851 (20130101); G06T 15/005 (20130101); G06F 9/30174 (20130101),"The present disclosure provides a method and apparatus for processing a floating point number matrix, an apparatus and a computer readable storage medium. In embodiments of the present disclosure, the minimum value of the floating point number model matrix and the maximum value of the floating point number model matrix are obtained according to a floating point number model matrix to be compressed, and then, compression processing is performed for the floating point number model matrix to obtain the fixed point number model matrix according to the bit width, the minimum value of the floating point number model matrix and the maximum value of the floating point number model matrix. The compression processing is performed for the floating point number model matrix of the deep learning model by a fixed point method, to obtain the fixed point number model matrix and reduce the storage space and amount of operation of the deep learning model. Meanwhile, the present disclosure proposes a framework for implementing the apparatus in the deep learning network to maximize the deep learning network precision, that is, a multiplication portion of the matrix uses the apparatus, and operations of other portions such as activation function retain the floating point operation."
"9,905,104",Baby detection for electronic-gate environments ,"February 27, 2018",G08B 21/0205 (20130101); G08B 21/0208 (20130101); G08B 21/0222 (20130101); G06F 16/5854 (20190101); G06K 9/00067 (20130101); G06N 20/00 (20190101); G06F 16/5838 (20190101); G08B 21/0461 (20130101); G08B 21/24 (20130101),A baby detection system and corresponding method are provided. The baby detection system includes a camera configured to capture an input image of a subject purported to be a baby and presented at an electronic-gate system. The baby detection system further includes a memory storing a deep learning model configured to perform a baby detection task for an electronic-gate application corresponding to the electronic-gate system. The baby detection system also includes a processor configured to apply the deep learning model to the input image to provide a baby detection result of either a presence or an absence of an actual baby in relation to the subject purported to be the baby. The baby detection task is configured to evaluate one or more different distractor modalities corresponding to one or more different physical spoofing materials to prevent baby spoofing for the baby detection task.
"9,881,207","Methods and systems for real-time user extraction using deep learning networks ","January 30, 2018",G06K 9/00369 (20130101); G06K 9/4652 (20130101); G06K 9/6232 (20130101); G06N 3/0445 (20130101); G06N 3/08 (20130101),"Methods and systems for real-time user extraction using deep learning networks. In one embodiment, user extraction comprises obtaining a given frame of color pixel data, checking whether a reset flag is cleared or set, and generating a trimap for the given frame. If the reset flag is cleared, generating the trimap comprises: obtaining a user-extraction contour based on a preceding frame; and generating the trimap based on the obtained user-extraction contour. If the reset flag is set, generating the trimap comprises: detecting at least one persona feature in the given frame; generating an alpha mask by aligning an intermediate contour with the detected persona feature(s), wherein the intermediate contour is based on a color-based flood-fill operation performed on a previous frame which was segmented by a machine-learning-segmentation process; and generating the trimap based on the generated alpha mask. The generated trimap is output for extracting a user persona."
"9,875,445",Dynamic hybrid models for multimodal analysis,"January 23, 2018",G06N 7/005 (20130101); G06N 20/00 (20190101); G06K 9/6296 (20130101),"Technologies for analyzing temporal components of multimodal data to detect short-term multimodal events, determine relationships between short-term multimodal events, and recognize long-term multimodal events, using a deep learning architecture, are disclosed."
